Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, TOTAL,  1990, Numar persoane, 314746
Total, Total, TOTAL,  1991, Numar persoane, 275275
Total, Total, TOTAL,  1992, Numar persoane, 260393
Total, Total, TOTAL,  1993, Numar persoane, 249994
Total, Total, TOTAL,  1994, Numar persoane, 246736
Total, Total, TOTAL,  1995, Numar persoane, 236640
Total, Total, TOTAL,  1996, Numar persoane, 231348
Total, Total, TOTAL,  1997, Numar persoane, 236891
Total, Total, TOTAL,  1998, Numar persoane, 237297
Total, Total, TOTAL,  1999, Numar persoane, 234600
Total, Total, TOTAL,  2000, Numar persoane, 234521
Total, Total, TOTAL,  2001, Numar persoane, 220368
Total, Total, TOTAL,  2002, Numar persoane, 210529
Total, Total, TOTAL,  2003, Numar persoane, 212459
Total, Total, TOTAL,  2004, Numar persoane, 216261
Total, Total, TOTAL,  2005, Numar persoane, 221020
Total, Total, TOTAL,  2006, Numar persoane, 219483
Total, Total, TOTAL,  2007, Numar persoane, 214728
Total, Total, TOTAL,  2008, Numar persoane, 221900
Total, Total, TOTAL,  2009, Numar persoane, 222388
Total, Total, TOTAL,  2010, Numar persoane, 212199
Total, Total, TOTAL,  2011, Numar persoane, 196242
Total, Total, TOTAL,  2012, Numar persoane, 201104
Total, Total, TOTAL,  2013, Numar persoane, 214932
Total, Total, TOTAL,  2014, Numar persoane, 202501
Total, Total, TOTAL,  2015, Numar persoane, 206190
Total, Total, TOTAL,  2016, Numar persoane, 209641
Total, Total, TOTAL,  2017, Numar persoane, 214928
Total, Total, TOTAL,  2018, Numar persoane, 214614
Total, Total, TOTAL,  2019, Numar persoane, 215467
Total, Total, TOTAL,  2020, Numar persoane, 211273
Total, Total, TOTAL,  2021, Numar persoane, 196858
Total, Total, TOTAL,  2022, Numar persoane, 182083
